[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-0-D
[Data]Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0213i-koun_2,9421902025,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-koun_3,9421902025,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-koun_4,9421902025,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-nawk_44,9421902070,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-nawk_5,9421902070,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-nawk_55,9421902070,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-nawk_6,9421902070,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-nawk_66,9421902070,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213pf-koun,9421902025,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213pf-nawk,9421902070,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_1,9330365148,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_2,9330365148,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_3,9330365148,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_4,9330365148,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_44,9330365148,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_5,9330365148,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_55,9330365148,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_6,9330365148,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-airc_66,9330365148,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-cesj_1,9421902070,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-cesj_2,9421902070,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-cesj_3,9421902070,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-fecs_1,9426369103,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-fecs_2,9426369103,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-fecs_3,9426369103,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_1,9426368035,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_2,9426368035,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_3,9426368035,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_4,9426368035,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_5,9426368035,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313i-xovo_6,9426368035,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313pf-airc,9330365148,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313pf-cesj,9421902070,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313pf-fecs,9426369103,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0313pf-xovo,9426368035,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-bupo_4,9465604059,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-bupo_5,9465547069,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-bupo_6,9465547069,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-coxy_2,9465555131,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-coxy_3,9465555131,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-coxy_33,9465555131,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-gomv_2,9421902079,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-gomv_3,9421902079,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-gomv_4,9421902079,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-iakz_1,9465547068,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-iakz_2,9465547068,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-nudd_1,9465608071,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-nudd_2,9465608071,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-nudd_6,9465608071,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-ougl_1,9465555071,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-ougl_2,9465555071,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-ougl_3,9465555071,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-peop_1,9465547066,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-peop_2,9465547066,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-peop_3,9465547066,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-peop_4,9465547066,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_1,9465547162,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_2,9439653064,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_3,9439653064,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_1,9426369048,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_2,9426369048,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_3,9426369048,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_1,9421902079,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_2,9421902079,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_3,9421902079,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xisg_1,9465555044,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
